courseNumber,name,departmentCode,description,credits,professorName
ACC 2000,Special Study for Lower Division Students,ACC,,,
ACC 2070,Financial Accounting for Decision Making,ACC,,3,
ACC 2080,Managerial Accounting for Decision Making,ACC,,3,
ACC 2990,Special Topics for Lower Division Students,ACC,,,
ACC 2990A,Special Topics for Lower Division Students Activity,ACC,,,
ACC 2990L,Special Topics for Lower Division Students Laboratory,ACC,,,
ACC 3110,Intermediate Accounting I,ACC,,3,
ACC 3120,Intermediate Accounting II,ACC,,3,
ACC 3210,Cost Accounting,ACC,,3,
ACC 4000,Special Study for Upper Division Students,ACC,,,
ACC 4122,Financial Accounting and Analysis,ACC,,3,
ACC 4131,Advanced Financial Accounting,ACC,,3,
ACC 4211,Advanced Cost Accounting,ACC,,3,
ACC 4221,Controllership,ACC,,3,
ACC 4310,Introduction to Taxation,ACC,,3,
ACC 4321,Advanced Taxation,ACC,,3,
ACC 4331,Tax Procedure and Research,ACC,,3,
ACC 4341,Service Learning in Taxation,ACC,,2,
ACC 4351,Supervisory Service Learning in Taxation,ACC,,1,
ACC 4361A,Service Learning in Taxation - LITC,ACC,,2,
ACC 4411,Accounting Internship,ACC,,,
ACC 4421,Internship in Public Accounting,ACC,,,
ACC 4510,Accounting Information Systems,ACC,,3,
ACC 4511,Advanced Accounting Information Systems,ACC,,3,
ACC 4530,Analytics in Accounting,ACC,,3,
ACC 4611,Senior Project I,ACC,,,
ACC 4621,Senior Project II,ACC,,,
ACC 4711,Governmental and Not-for-Profit Accounting,ACC,,3,
ACC 4810,Auditing,ACC,,3,
ACC 4811,Accounting Ethics,ACC,,3,
ACC 4821,Forensic Accounting,ACC,,3,
ACC 4831,Advanced Auditing,ACC,,3,
ACC 4841,Internal Auditing,ACC,,3,
ACC 4990,Special Topics for Upper Division Students,ACC,,,
ACC 4990A,Special Topics for Upper Division Students Activity,ACC,,,
ACC 4990L,Special Topics for Upper Division Students Laboratory,ACC,,,
ACC 5000,Special Study for Graduate Students,ACC,,,
ACC 5122,Financial Accounting and Analysis,ACC,,3,
ACC 5310,Introduction to Taxation,ACC,,3,
ACC 5410,Internship In Accounting,ACC,,,
ACC 5510,Accounting Information Systems,ACC,,3,
ACC 5530,Analytics in Accounting,ACC,,3,
ACC 5810,Auditing,ACC,,3,
ACC 5990,Special Topics for Graduate Students,ACC,,,
ACC 5990A,Special Topics for Graduate Students Activity,ACC,,,
ACC 5990L,Special Topics for Graduate Students Laboratory,ACC,,,
ACC 6000,Business Valuation Using Financial Statements,ACC,,3,
ACC 6100,Internal Control and Corporate Governance,ACC,,3,
ACC 6200,Assurance and Regulation in Accounting,ACC,,3,
ACC 6300,International Accounting Issues,ACC,,3,
ACC 6400,Management Accounting Seminar,ACC,,3,
ACC 6500,Advanced Analytics in Accounting,ACC,,3,
ACC 6600,Contemporary Accounting Issues,ACC,,3,
ACC 6700,Management Control in Not-for-Profit Entities,ACC,,3,
ACC 6800,Fraud and Forensic Accounting,ACC,,3,
ACC 6900,Strategic Tax Planning,ACC,,3,
ACC 6910,Directed Research,ACC,,,
ACC 6920,Independent Research,ACC,,,
ACC 6940,MSA Research Project,ACC,,3,
ACC 6950,Master&#8217;s Project,ACC,,3,
ACC 6990,Master&#8217;s Degree Continuation,ACC,,0,
ARO 1011L,Introduction to Aeronautics and Air Propulsion Laboratory,ARO,,1,
ARO 1021L,Introduction to Astronautics and Rocket Propulsion Laboratory,ARO,,1,
ARO 2000,Special Study for Lower Division Students,ARO,,,
ARO 2011L,Fundamentals of Systems Engineering and Design Laboratory,ARO,,1,
ARO 2021L,Introduction to Aerospace Computational Methods Laboratory,ARO,,1,
ARO 2041,Engineering Statics,ARO,,3,
ARO 2150,Vector Dynamics,ARO,,3,
ARO 2311,Elements of Avionics,ARO,,2,
ARO 2311L,Elements of Avionics Laboratory,ARO,,1,
ARO 2990,Special Topics for Lower Division Students,ARO,,,
ARO 2990A,Special Topics for Lower Division Students Activity,ARO,,,
ARO 2990L,Special Topics for Lower Division Students Laboratory,ARO,,,
ARO 3011,Fluid Dynamics and Low-Speed Aerodynamics,ARO,,4,
ARO 3090,Orbital Mechanics,ARO,,3,
ARO 3111,Gas Dynamics and High-Speed Aerodynamics,ARO,,4,
ARO 3120,Aircraft Jet Propulsion,ARO,,3,
ARO 3180,Advanced Engineering Mathematics,ARO,,2,
ARO 3191,Space Environment,ARO,,3,
ARO 3220,Aerospace Feedback Control Systems,ARO,,3,
ARO 3220L,Aerospace Feedback Control Systems Laboratory,ARO,,1,
ARO 3261,Aerospace Structural Mechanics I,ARO,,3,
ARO 3271,Aerospace Structural Mechanics II,ARO,,3,
ARO 3281,Aerospace Structural Analysis and Design,ARO,,3,
ARO 3570L,Aerospace Structures Laboratory,ARO,,1,
ARO 4000,Special Study for Upper Division Students,ARO,,,
ARO 4011,Thermodynamics and Heat Transfer,ARO,,4,
ARO 4020,Numerical Methods,ARO,,3,
ARO 4050,Aircraft Stability and Control,ARO,,3,
ARO 4060,Vibrations and Dynamics of Aerospace Systems,ARO,,3,
ARO 4070,Trajectory Design,ARO,,3,
ARO 4080,Finite Element Analysis of Structures,ARO,,3,
ARO 4090,Space Vehicle Dynamics and Control,ARO,,3,
ARO 4120,Wing Theory,ARO,,3,
ARO 4140,Rocket Propulsion,ARO,,3,
ARO 4180,Computational Fluid Dynamics,ARO,,3,
ARO 4200,Aerospace Program Management,ARO,,3,
ARO 4210,Helicopter Aerodynamics and Performance,ARO,,3,
ARO 4220,Robust Control of Nonlinear Systems,ARO,,3,
ARO 4260,Surface Transportation and Power Generation Systems,ARO,,3,
ARO 4270,Structural Dynamics and Aeroelasticity,ARO,,3,
ARO 4330,Digital Flight Control Systems,ARO,,3,
ARO 4351L,Wind Tunnel Testing Laboratory,ARO,,1,
ARO 4360,Mechanics of Composite Materials,ARO,,3,
ARO 4430,Aircraft System Identification,ARO,,3,
ARO 4450,Optimal Control and Estimation,ARO,,3,
ARO 4460,Orbit Determination and Estimation,ARO,,3,
ARO 4510,Model-Based Systems Architecture,ARO,,3,
ARO 4520,Optimization-Based Aircraft Flight Control Design,ARO,,3,
ARO 4711L,Space Launch Vehicle Design Laboratory I,ARO,,2,
ARO 4721L,Space Launch Vehicle Design Laboratory II,ARO,,2,
ARO 4811L,Space Vehicle Design Laboratory I,ARO,,2,
ARO 4821L,Space Vehicle Design Laboratory II,ARO,,2,
ARO 4911L,Air Vehicle Design Laboratory I,ARO,,2,
ARO 4921L,Air Vehicle Design Laboratory II,ARO,,2,
ARO 4990,Special Topics for Upper Division Students,ARO,,,
ARO 4990A,Special Topics for Upper Division Students Activity,ARO,,,
ARO 4990L,Special Topics for Upper Division Students Laboratory,ARO,,,
ARO 5000,Special Study for Graduate Students,ARO,,,
ARO 5060,Aircraft Structures,ARO,,3,
ARO 5080,Finite Element Analysis of Structures,ARO,,3,
ARO 5090,Astronautics,ARO,,3,
ARO 5100,Airbreathing Propulsion System,ARO,,3,
ARO 5140,Rocket Propulsion,ARO,,3,
ARO 5150,Missile Engineering,ARO,,3,
ARO 5180,Computational Fluid Dynamics,ARO,,3,
ARO 5210,Helicopter Aerodynamics and Performance,ARO,,3,
ARO 5220,Robust Control of Nonlinear Systems,ARO,,3,
ARO 5230,Structural Dynamics,ARO,,3,
ARO 5280,Hypersonic Aerodynamics,ARO,,3,
ARO 5330,Digital Flight Control Systems,ARO,,3,
ARO 5430,Aircraft System Identification,ARO,,3,
ARO 5450,Optimal Control and Estimation,ARO,,3,
ARO 5460,Orbit Determination and Estimation,ARO,,3,
ARO 5520,Optimization-Based Aircraft Flight Control Design,ARO,,3,
ARO 5770,Aerodynamics of Wings and Bodies,ARO,,3,
ARO 5780,Aircraft Stability,ARO,,3,
ARO 5810,Spacecraft Design,ARO,,3,
ARO 5910,Aircraft Design,ARO,,3,
ARO 5950,Boundary Layer Theory,ARO,,3,
ARO 5990,Special Topics for Graduate Students,ARO,,,
ARO 5990A,Special Topics for Graduate Students Activity,ARO,,,
ARO 5990L,Special Topics for Graduate Students Laboratory,ARO,,,
ARO 6910,Directed Research,ARO,,,
ARO 6920,Independent Research,ARO,,,
ARO 6990,Master&#8217;s Degree Continuation,ARO,,0,
AG 1010,Agriculture &amp; The Modern World,AG,,3,
AG 1110,Agriculture: The Foundation of Civilizations,AG,,3,
AG 1280,Computer Applications for Agriculture,AG,,3,
AG 2000,Special Study for Lower Division Students,AG,,,
AG 2010,Global Resources for Food,AG,,3,
AG 2050,"Race, Ethnicity and Food Justice",AG,,3,
AG 2990,Special Topics for Lower Division Students,AG,,,
AG 2990A,Special Topics for Lower Division Students Activity,AG,,,
AG 2990L,Special Topics for Lower Division Students Laboratory,AG,,,
AG 4000,Special Study for Upper Division Students,AG,,,
AG 4010,"Ethical Issues in Food, Agricultural and Apparel Industries",AG,,3,
AG 4640,Development of Leadership Skills In Agriculture,AG,,3,
AG 4990,Special Topics for Upper Division Students,AG,,,
AG 4990A,Special Topics for Upper Division Students Activity,AG,,,
AG 4990L,Special Topics for Upper Division Students Laboratory,AG,,,
AG 5000,Special Study for Graduate Students,AG,,,
AG 5100,Introduction to Graduate Research in the Agricultural Sciences,AG,,3,
AG 5200,Research Design and Data Analysis for Agriculture,AG,,3,
AG 5300,Research Proposal,AG,,3,
AG 5990,Special Topics for Graduate Students,AG,,,
AG 5990A,Special Topics for Graduate Students Activity,AG,,,
AG 5990L,Special Topics for Graduate Students Laboratory,AG,,,
AG 6910,Directed Research,AG,,,
AG 6920,Independent Research,AG,,,
AG 6990,Master&#8217;s Degree Continuation,AG,,0,
ABM 2000,Special Study for Lower Division Students,ABM,,,
ABM 2010,Agribusiness Organizations and Careers,ABM,,3,
ABM 2240,Accounting for Agribusiness I,ABM,,3,
ABM 2260,Accounting for Agribusiness II,ABM,,3,
ABM 2990,Special Topics for Lower Division Students,ABM,,,
ABM 2990A,Special Topics for Lower Division Students Activity,ABM,,,
ABM 2990L,Special Topics for Lower Division Students Laboratory,ABM,,,
ABM 3040,Food and Agribusiness Marketing,ABM,,3,
ABM 3060,Retailing and Wholesaling of Agribusiness Products,ABM,,3,
ABM 3090,Promotion and Advertising for Agribusiness,ABM,,3,
ABM 3100,Sales and Professional Development for Agribusiness,ABM,,3,
ABM 3110,Applied Economics for Agribusiness,ABM,,3,
ABM 3130,Food and Agriculture Policy,ABM,,3,
ABM 3260,Financial Analysis for Agribusiness,ABM,,3,
ABM 3270,Financial Analysis for Agribusiness II,ABM,,3,
ABM 3280,Agribusiness Enterprise Management,ABM,,3,
ABM 3290,Equine Enterprise Management,ABM,,3,
ABM 3300,International Food and Agribusiness Marketing,ABM,,3,
ABM 3750,Data Management for Agribusiness,ABM,,3,
ABM 4000,Special Study for Upper Division Students,ABM,,,
ABM 4020,Agribusiness Personnel Management,ABM,,3,
ABM 4050,Food and Agricultural Marketing Applications,ABM,,3,
ABM 4130,Agricultural Law and Compliance,ABM,,3,
ABM 4300,Equine Appraisal and Evaluation,ABM,,3,
ABM 4410,Cooperative Education in Agribusiness I,ABM,,,
ABM 4420,Cooperative Education in Agribusiness II,ABM,,,
ABM 4500,Agricultural Water Resource Management,ABM,,3,
ABM 4900,Agribusiness Senior Feasibility Study,ABM,,3,
ABM 4990,Special Topics for Upper Division Students,ABM,,,
ABM 4990A,Special Topics for Upper Division Students Activity,ABM,,,
ABM 4990L,Special Topics for Upper Division Students Laboratory,ABM,,,
AGS 1000,Orientation to Agricultural Science,AGS,,1,
AGS 2000,Special Study for Lower Division Students,AGS,,,
AGS 2500A,Development of Competitive Events Activity,AGS,,1,
AGS 2990,Special Topics for Lower Division Students,AGS,,,
AGS 2990A,Special Topics for Lower Division Students Activity,AGS,,,
AGS 2990L,Special Topics for Lower Division Students Laboratory,AGS,,,
AGS 3000,Advocacy in Agricultural Science,AGS,,2,
AGS 4000,Special Study for Upper Division Students,AGS,,,
AGS 4300,Program Planning and Development,AGS,,2,
AGS 4400,Procedures in Agricultural Education,AGS,,2,
