courseNumber,name,departmentCode,description,credits,professorName
ACCTG 151,Introductory Financial Accounting I,ACCTG,,,
ACCTG 152,Introductory Financial Accounting II,ACCTG,,,
ACCTG 197,Special Topics,ACCTG,,,
ACCTG 199,Foreign Studies,ACCTG,,,
ACCTG 201,Introduction to Financial Accounting,ACCTG,,,
ACCTG 202,Introduction to Managerial Accounting,ACCTG,,,
ACCTG 211,Financial and Managerial Accounting for Decision Making,ACCTG,,,
ACCTG 211H,Financial and Managerial Accounting for Decision Making,ACCTG,,,
ACCTG 285,Introduction to Cyber Fraud,ACCTG,,,
ACCTG 296,Independent Studies,ACCTG,,,
ACCTG 297,Special Topics,ACCTG,,,
ACCTG 299,Foreign Studies,ACCTG,,,
ACCTG 305,Financial Statements and Management Decisions,ACCTG,,,
ACCTG 310,Federal Taxation I,ACCTG,,,
ACCTG 312,Accounting Technology Lab,ACCTG,,,
ACCTG 340,Cost Accounting,ACCTG,,,
ACCTG 371,Intermediate Accounting I,ACCTG,,,
ACCTG 397,Special Topics,ACCTG,,,
ACCTG 399,Foreign Studies,ACCTG,,,
ACCTG 403,Auditing,ACCTG,,,
ACCTG 403W,Auditing,ACCTG,,,
ACCTG 404,Managerial Accounting: Economic Perspective,ACCTG,,,
ACCTG 405,Principles of Taxation I,ACCTG,,,
ACCTG 406,Principles of Taxation II,ACCTG,,,
ACCTG 410,Federal Taxation II,ACCTG,,,
ACCTG 411,Accounting Practicum:  VITA,ACCTG,,,
ACCTG 417,Corporate and Managerial Communication,ACCTG,,,
ACCTG 422,Accounting Systems,ACCTG,,,
ACCTG 423,Accounting Data Analytics,ACCTG,,,
ACCTG 426,Financial Statement Analysis,ACCTG,,,
ACCTG 431,Advanced Auditing,ACCTG,,,
ACCTG 432,Accounting Information Systems,ACCTG,,,
ACCTG 440,Advanced Management Accounting,ACCTG,,,
ACCTG 450,Advanced Accounting,ACCTG,,,
ACCTG 461,International Accounting,ACCTG,,,
ACCTG 462,Governmental and Not-for-Profit Accounting,ACCTG,,,
ACCTG 471,Intermediate Financial Accounting I,ACCTG,,,
ACCTG 472,Intermediate Financial Accounting II,ACCTG,,,
ACCTG 473,Advanced Financial Accounting,ACCTG,,,
ACCTG 481,Financial Statement Analysis: Accounting Based Evaluation and Decision     Making,ACCTG,,,
ACCTG 483,Forensic Accounting,ACCTG,,,
ACCTG 494,Research Project,ACCTG,,,
ACCTG 494H,Research Project,ACCTG,,,
ACCTG 495,Internship,ACCTG,,,
ACCTG 496,Independent Studies,ACCTG,,,
ACCTG 497,Special Topics,ACCTG,,,
ACCTG 498,Special Topics,ACCTG,,,
ACCTG 499,Foreign Studies,ACCTG,,,
AFR 105,African Biodiversity and Conservation,AFR,,,
AFR 110N,Introduction to Contemporary Africa,AFR,,,
AFR 132,Afro-Hispanic Civilization,AFR,,,
AFR 150,Africa in Cinema,AFR,,,
AFR 191,Early African History,AFR,,,
AFR 192,Modern African History,AFR,,,
AFR 192H,Modern African History,AFR,,,
AFR 197,Special Topics,AFR,,,
AFR 199,Foreign Studies,AFR,,,
AFR 202N,"Women, Gender, and Feminisms in Africa",AFR,,,
AFR 205,Development and Sustainability in Africa,AFR,,,
AFR 209,Poverty in Africa,AFR,,,
AFR 230N,Language and Social Justice,AFR,,,
AFR 233,Connecting Social Movements: U.S. Civil Rights and African Liberation,AFR,,,
AFR 234,"Environment, Climate Change and Resilience in Africa",AFR,,,
AFR 294,Research Project,AFR,,,
AFR 297,Special Topics,AFR,,,
AFR 299,Foreign Studies,AFR,,,
