courseNumber,name,departmentCode,description,credits,professorName
AAE 20000,Undergraduate Sophomore Seminar,AAE,,,
AAE 20300,Aeromechanics I,AAE,,,
AAE 20400,Aeromechanics II,AAE,,,
AAE 20401,Aeromechanics II Laboratory,AAE,,,
AAE 25100,Introduction To Aerospace Design,AAE,,,
AAE 29199,Cooperative Experience I,AAE,,,
AAE 29299,Cooperative Experience II,AAE,,,
AAE 30000,Undergraduate Junior Seminar,AAE,,,
AAE 30100,Signal Analysis For Aerospace Engineering,AAE,,,
AAE 33300,Fluid Mechanics,AAE,,,
AAE 33301,Fluid Mechanics Laboratory,AAE,,,
AAE 33400,Aerodynamics,AAE,,,
AAE 33401,Aerodynamics Laboratory,AAE,,,
AAE 33800,Thermal Sciences,AAE,,,
AAE 33900,Aerospace Propulsion,AAE,,,
AAE 34000,Dynamics And Vibrations,AAE,,,
AAE 35103,Aerospace Systems Design,AAE,,,
AAE 35200,Structural Analysis I,AAE,,,
AAE 35201,Structural Analysis I Laboratory,AAE,,,
AAE 36100,Introduction To Random Variables In Engineering,AAE,,,
AAE 36400,Control System Analysis,AAE,,,
AAE 36401,Control Systems Laboratory,AAE,,,
AAE 38199,Professional Practice Co-Op I,AAE,,,
AAE 38299,Professional Practice Co-Op II,AAE,,,
AAE 38399,Professional Practice Co-Op III,AAE,,,
AAE 39399,Cooperative Experience III,AAE,,,
AAE 39499,Extensive Cooperative Experience IV,AAE,,,
AAE 39599,Extensive Cooperative Experience V,AAE,,,
AAE 39699,Professional Practice Internship,AAE,,,
AAE 40000,Undergraduate Senior Seminar,AAE,,,
AAE 41200,Introduction To Computational Fluid Dynamics,AAE,,,
AAE 41600,Viscous Flows,AAE,,,
AAE 41800,Zero-Gravity Flight Experiment,AAE,,,
AAE 42100,Flight Dynamics And Control,AAE,,,
AAE 43800,Air-Breathing Propulsion,AAE,,,
AAE 43900,Rocket Propulsion,AAE,,,
AAE 44000,Spacecraft Attitude Dynamics,AAE,,,
AAE 45000,Spacecraft Design,AAE,,,
AAE 45100,Aircraft Design,AAE,,,
AAE 45300,Matrix Methods In Aerospace Structures,AAE,,,
AAE 45400,Design Of Aerospace Structures,AAE,,,
AAE 49000,Special Problems In Aeronautical Engineering,AAE,,,
AAE 49700,Independent Study In Aerospace Engineering,AAE,,,
AAE 50700,Principles Of Dynamics,AAE,,,
AAE 50800,Optimization In Aerospace Engineering,AAE,,,
AAE 51100,Introduction To Fluid Mechanics,AAE,,,
AAE 51200,Computational Aerodynamics,AAE,,,
AAE 51400,Intermediate Aerodynamics,AAE,,,
AAE 51500,Rotorcraft Aerodynamics,AAE,,,
AAE 51800,Low-Gravity Fluid Dynamics,AAE,,,
AAE 51900,Hypersonic Aerothermodynamics,AAE,,,
AAE 52000,Experimental Aerodynamics,AAE,,,
AAE 52100,Plasma Laboratory,AAE,,,
AAE 52300,Introduction To Remote Sensing,AAE,,,
AAE 53200,Orbit Mechanics,AAE,,,
AAE 53400,Spacecraft Electric Propulsion,AAE,,,
AAE 53500,"Propulsion Design, Build, Test",AAE,,,
AAE 53700,Hypersonic Propulsion,AAE,,,
AAE 53800,Air Breathing Propulsion,AAE,,,
AAE 53900,Advanced Rocket Propulsion,AAE,,,
AAE 54500,Dynamic Behavior of Materials,AAE,,,
AAE 54600,Aerospace Structural Dynamics And Stability,AAE,,,
AAE 54800,Mechanical Behavior Of Aerospace Materials,AAE,,,
