courseNumber,name,departmentCode,description,credits,professorName
ACCT 200,Opportunities in Accounting,ACCT,"1 Lecture Hour. Introduction to career paths in accounting and assessment aptitudes and interests with respect to these career paths. Prerequisite: Business honors, business administration, or accounting majors.",1,
ACCT 209,Survey of Accounting Principles,ACCT,"3 Lecture Hours. Accounting survey for non-business majors; non-technical accounting procedures, preparation and interpretation of financial statements and internal control. May not be used to satisfy degree requirements for majors in business. Business majors who choose to take this course must do so on a satisfactory/unsatisfactory basis.",3,
ACCT 210,Survey of Managerial and Cost Accounting Principles,ACCT,"3 Lecture Hours. A survey of managerial and cost accounting for non-business majors; accounting responsibility of the manager, job and process cost systems, budgeting, cost-volume-profit analysis for decision-making. May not be used to satisfy degree requirements for majors in business. Business majors who choose to take this course must do so on a satisfactory/unsatisfactory basis. Prerequisite: ACCT 209 or ACCT 229 .",3,
ACCT 229,Introductory Accounting,ACCT,"3 Lecture Hours. (ACCT 2301, 2401) Introductory Accounting. Analysis, recording and reporting of business transactions; partnership and corporation accounting; analysis and use of financial statements. Prerequisite: Business, Agribusiness, and Maritime Business Administration majors; also taught at Galveston campus.",3,
ACCT 230,Introductory Accounting,ACCT,"3 Lecture Hours. (ACCT 2302, 2402) Introductory Accounting. Continuation of ACCT 229 . Use of budgets; introduction to cost accounting; cost control techniques and methods of measuring performance. Prerequisites: ACCT 229 ; Business, Agribusiness, and Maritime Business Administration majors; also taught at Galveston campus.",3,
ACCT 321,Professional Development Seminar,ACCT,2 Lecture Hours. Exposure to professional issues of professional accounting practice using a workshop format. Prerequisite: Admission to Professional Program.,2,
ACCT 322,Professional Development Seminar – BBA,ACCT,"1 Lecture Hour. Exposure to professional issues in the practice of accounting, including potential careers and employers. Prerequisite: Accounting major or approval of instructor.",1,
ACCT 327,Financial Reporting I,ACCT,3 Lecture Hours. Study of theoretical basis for financial accounting concepts and principles related to financial reporting; emphasizing income measurement and accounting for assets. BBA accounting majors must earn a minimum grade of C for graduation. Prerequisite: Grade of C or higher in ACCT 229 ; admission to upper division in Mays Business School.,3,
ACCT 328,Financial Reporting II,ACCT,"3 Lecture Hours. Continued study of accounting concepts and principles related to reporting long-debt and owners' equity; including reporting issues of leases, retirement benefits, income taxes and international accounting standards. Prerequisite: ACCT 327 with a grade of C or better.",3,
ACCT 329,Cost Management and Analysis,ACCT,"3 Lecture Hours. Theory, concepts and methods relating to use of information and design of systems to aid managers in planning, controlling, decision making, evaluating performance and reporting financial results. Prerequisite: ACCT 315 or ACCT 327 with a grade of C or better.",3,
ACCT 403,Energy Accounting,ACCT,"3 Lecture Hours. Overview of the oil and gas industry and specialized financial accounting procedures associated with the industry; emphasis on accounting for exploration, development, production, depletion and amortization, joint operations, asset impairment and retirement obligation; includes reserve accounting/disclosure related to the above topics. Prerequisite: ACCT 327 with C or better.",3,
ACCT 405,Income Tax,ACCT,3 Lecture Hours. Introduction to federal income tax legislation pertaining primarily to corporations and individuals. Prerequisite: ACCT 327 with a grade of C or better.,3,
ACCT 407,Auditing,ACCT,"3 Lecture Hours. Introduction to auditing theory and procedures pertaining to financial statements, in the context of both external auditing, by certified public accountants, and internal auditing; preparation of working papers. Prerequisite: ACCT 327 with a grade of C or better.",3,
ACCT 408,Internal Auditing,ACCT,3 Lecture Hours. Reading and evaluation of current theory and procedures used by internal auditors; selected case studies; statistical methods of forming auditing judgment. Prerequisite: Grade of C or better in ACCT 427 .,3,
ACCT 410,Fraud Examination,ACCT,"3 Lecture Hours. Principles and methodologies of detecting and deterring fraud using accounting, auditing, and investigative skills; includes skimming, larceny, misappropriations, fraudulent statements, interviewing witnesses and support for litigation. Prerequisites: ACCT 327 with a grade of C or better; junior or senior classification.",3,
ACCT 421,Critical Communication Skills for Accountants,ACCT,3 Lecture Hours. Development of oral and written communication skills necessary for successful careers in public and corporate accounting. Prerequisite: ACCT 327 with a grade of C or better.,3,
ACCT 427,Accounting and Financial Information Systems,ACCT,"3 Lecture Hours. Overall data flow systems emphasizing financial data and computerized systems, for accounting majors; flow and logic concepts, developing meaningful control concepts and data reporting techniques. Prerequisite: ACCT 229 with a grade of C or better.",3,
ACCT 430,Global Immersion in Accounting,ACCT,3 Lecture Hours. Combination of classroom work in the spring and a field trip to the selected country in summer; introduction to international opportunities within the public accounting firms; meet with former students to gain a local and corporate view of business in the selected country. May be taken two times for credit. Prerequisites: ACCT 327 and approval of instructor. Cross Listing: IBUS 430/ACCT 430 .,3,
ACCT 445,International Accounting,ACCT,3 Lecture Hours. Introduction and examination of accounting issues unique to multinational enterprises and international business activity; only ACCT 445/IBUS 445 sections count for the accounting coursework requirements for the CPA exam. Prerequisites: ACCT 315 or ACCT 327 ; FINC 341 . Cross Listing: IBUS 445/ACCT 445 .,3,
ACCT 447,Financial Statement Analysis,ACCT,"3 Lecture Hours. Development of an analytical approach to financial statements, integrating relevant finance and accounting concepts and principles; current topics in financial analysis. Prerequisites: Grade of C or better in ACCT 327 and FINC 341 . Cross Listing: FINC 447/ACCT 447 .",3,
