courseNumber,name,departmentCode,description,credits,professorName
ACG 2021,Principles of Financial Accounting,ACG,,,
ACG 2071,Principles of Managerial Accounting,ACG,,,
ACG 3074,Managerial Accounting for Non-Business Majors,ACG,,,
ACG 3103,Intermediate Financial Accounting I,ACG,,,
ACG 3113,Intermediate Financial Accounting II,ACG,,,
ACG 3341,Cost Accounting and Control I,ACG,,,
ACG 3401,Accounting Information Systems,ACG,,,
ACG 4123,Intermediate Financial Accounting III,ACG,,,
ACG 4632,Auditing I,ACG,,,
ACG 4684,Fraud Examinations,ACG,,,
ACG 4840,Analytics in Accounting,ACG,,,
ACG 4842,Financial and Managerial Reporting with Data Analytics,ACG,,,
ACG 4843,Advanced Auditing - Regulation Technology and Analytics,ACG,,,
ACG 4911,Independent Research,ACG,,,
ACG 4912,Undergraduate Research,ACG,,,
ACG 4931,Selected Topics in Accounting,ACG,,,
ACG 4940,Accounting Internship,ACG,,,
ACG 4970,Accounting Honors Thesis,ACG,,,
ADV 2214,Mass Communications Design and Content Creation,ADV,,,
ADV 3008,Principles of Advertising,ADV,,,
ADV 3101,Advertising Creativity,ADV,,,
ADV 3300,Media Planning for Advertising,ADV,,,
ADV 3500,Advertising Research,ADV,,,
ADV 4204,Advanced Advertising Creativity,ADV,,,
ADV 4301,Advanced Media Strategy,ADV,,,
ADV 4310,Digital Media,ADV,,,
ADV 4600,Advertising Management,ADV,,,
ADV 4710,Portfolio Building,ADV,,,
ADV 4800,Advertising Campaigns,ADV,,,
AFA 2000,Introduction to the Black Experience,AFA,,,
AFA 2380,History and Theory of Genocide,AFA,,,
AFA 3110,Key Issues in Black Thought,AFA,,,
AFA 3932,Contemporary Issues in Africana Studies,AFA,,,
AFA 4335,Black Women in America,AFA,,,
AFA 4350,African American Community Research,AFA,,,
AFA 4430,Afro-Diasporic Literature and Political Movements,AFA,,,
AFA 4713,Haiti: Legacy of Resilience and Freedom,AFA,,,
AFA 4900,Directed Readings,AFA,,,
AFA 4905,Independent Study,AFA,,,
AFA 4931,Selected Topics in Africana Studies,AFA,,,
AFA 4936,Capstone in Africana Studies,AFA,,,
AFA 4940,Internship in Africana Studies,AFA,,,
AFH 3100,African History to 1850,AFH,,,
AFH 3200,African History since 1850,AFH,,,
AFR 1101,Department of the Air Force&#8217;s Professionalism,AFR,,,
AFR 1120,Department of the Air Force&#8217;s Competition and Security,AFR,,,
AFR 2001,Air Force ROTC Leadership Laboratory,AFR,,,
AFR 2130,"Evolution of USAF Air and Space Power, Part I",AFR,,,
AFR 2140,"Evolution of USAF Air and Space Power, Part II",AFR,,,
AFR 3220,Air Force Management and Leadership I,AFR,,,
AFR 3231,Air Force Management and Leadership II,AFR,,,
AFR 4201,National Security Affairs &amp; Preparation for Active Duty I,AFR,,,
AFR 4211,National Security Affairs &amp; Preparation for Active Duty II,AFR,,,
AFS 2250,Culture and Society in Africa,AFS,,,
AFS 4910,Individual Research,AFS,,,
AMH 2010,American History I,AMH,,,
AMH 2020,American History II,AMH,,,
AMH 2401,Segregation in the United States,AMH,,,
AMH 3098,Race in America,AMH,,,
AMH 3130,The American Revolutionary Era,AMH,,,
AMH 3140,The Age of Jefferson,AMH,,,
AMH 3160,The Age of Jackson,AMH,,,
AMH 3170,The Civil War and Reconstruction,AMH,,,
AMH 3201,"The United States, 1877-1914",AMH,,,
AMH 3231,"The United States, 1914-1945",AMH,,,
AMH 3270,The United States since 1945,AMH,,,
AMH 3321,History of AIDS,AMH,,,
AMH 3341,American Food and Drink History,AMH,,,
AMH 3390,19th Century America History,AMH,,,
AMH 3402,"Southern History, 1607-1865",AMH,,,
AMH 3421,Early Florida,AMH,,,
AMH 3423,Modern Florida,AMH,,,
AMH 3428,Doing Local History: Tampa Bay,AMH,,,
AMH 3500,American Labor History,AMH,,,
AMH 3512,U.S. Foreign Relations,AMH,,,
AMH 3519,United States in the Middle East,AMH,,,
AMH 3530,Immigration History,AMH,,,
AMH 3533,The Irish in America,AMH,,,
AMH 3561,American Women I,AMH,,,
AMH 3571,African American History to 1865,AMH,,,
AMH 3572,African American History since 1865,AMH,,,
AMH 3630,American Environmental History,AMH,,,
AMH 3674,American Slavery and Abolition,AMH,,,
AML 3031,American Literature From the Beginnings to 1860,AML,,,
AML 3032,American Literature From 1860 to 1912,AML,,,
AML 3051,American Literature From 1912-1945,AML,,,
AML 3243,American Literature 1945 to the Present,AML,,,
AML 3604,African American Literature,AML,,,
AML 3630,U.S. Latino/Latina Literature in English,AML,,,
AML 3641,Native American Literature and Film,AML,,,
AML 3674,Asian American Literature and Film,AML,,,
AML 4111,Nineteenth-Century American Novel,AML,,,
AML 4121,Twentieth-Century American Novel,AML,,,
AML 4261,Literature of the South,AML,,,
AML 4265,Florida Writers,AML,,,
AML 4300,Selected American Authors,AML,,,
AML 4931,American Literary Movements and Genres,AML,,,
AML 4933,Studies in American Literature and Culture,AML,,,
AMS 2030,Introduction to American Studies,AMS,,,
AMS 2201,Colonial American Culture,AMS,,,
